"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I010","2020-04-03 00:00:00","1562.000","4.000","0.900","14.200","0.980","852.300","","8.000","-99.000","-99.000","-99.000","17.900","","12.600",""
"C0F930","2020-04-03 00:00:00","100.000","11.000","0.500","19.000","1.000","1006.700","","19.000","-99.000","-99.000","-99.000","23.500","","17.000",""
"C0X180","2020-04-03 00:00:00","62.000","341.000","0.800","20.300","0.990","1009.600","","1.500","-99.000","-99.000","-99.000","24.400","","18.000",""
"C0ACA0","2020-04-03 00:00:00","25.000","42.000","1.100","19.800","0.860","1015.500","","12.500","-99.000","-99.000","-99.000","21.200","","16.500",""
"C0X260","2020-04-03 00:00:00","39.000","29.000","1.900","19.800","0.920","1013.800","","1.500","-99.000","-99.000","-99.000","22.300","","17.200",""
"C0K500","2020-04-03 00:00:00","12.000","17.000","3.100","20.000","0.940","1015.500","","1.000","-99.000","-99.000","-99.000","22.300","","17.000",""
"CM0010","2020-04-03 00:00:00","68.000","38.000","2.200","18.900","0.820","1012.200","","14.500","-99.000","-99.000","-99.000","20.100","","16.300",""
"C0O990","2020-04-03 00:00:00","18.000","354.000","1.000","20.900","0.990","1015.400","","0.000","-99.000","-99.000","-99.000","25.400","","18.400",""
"C0E430","2020-04-03 00:00:00","258.000","0.000","0.000","16.500","0.970","992.800","","16.000","-99.000","-99.000","-99.000","20.700","","14.100",""
"C0D390","2020-04-03 00:00:00","146.000","0.000","0.000","17.800","0.930","1000.900","","14.500","-99.000","-99.000","-99.000","22.200","","15.200",""
"C0T9F0","2020-04-03 00:00:00","251.000","0.000","0.100","18.400","0.930","991.500","","3.500","-99.000","-99.000","-99.000","22.300","","15.700",""
"C0R350","2020-04-03 00:00:00","35.000","58.000","5.100","23.600","0.830","1013.600","","0.000","-99.000","-99.000","-99.000","25.400","","21.500",""
"C0K550","2020-04-03 00:00:00","15.000","2.000","1.700","20.300","0.880","1016.500","","3.500","-99.000","-99.000","-99.000","22.400","","17.200",""
"C0C670","2020-04-03 00:00:00","250.000","4.000","0.600","16.600","0.930","990.900","","18.000","-99.000","-99.000","-99.000","19.300","","14.500",""
"C0A980","2020-04-03 00:00:00","11.000","0.000","0.000","18.600","0.870","1018.900","","12.000","-99.000","-99.000","-99.000","23.000","","16.500",""
"C0UA60","2020-04-03 00:00:00","566.000","0.000","0.100","16.300","0.990","955.500","","2.500","-99.000","-99.000","-99.000","20.000","","13.600",""
"C0V720","2020-04-03 00:00:00","15.000","40.000","1.000","23.500","0.820","1016.000","","0.000","-99.000","-99.000","-99.000","26.500","","21.500",""
